description,category
vacation travel expense,Travel
train ticket,Transport
internet bill payment,Utilities
tea transaction,Food
mall shopping expense,Shopping
water bill expense,Utilities
doctor consultation transaction,Health
resort stay 4695,Travel
health checkup,Health
flipkart order transaction,Shopping
taxi fare 4206,Transport
lunch transaction,Food
netflix subscription payment,Entertainment
cinema transaction,Entertainment
hotel booking transaction,Travel
bus ticket,Transport
burger transaction,Food
concert ticket,Entertainment
ola cab,Transport
mall shopping transaction,Shopping
internet bill expense,Utilities
clothes purchase expense,Shopping
movie ticket,Entertainment
pharmacy,Health
netflix subscription,Entertainment
doctor consultation,Health
cinema 2466,Entertainment
vegetable market,Groceries
new shoes transaction,Shopping
resort stay transaction,Travel
diesel payment,Transport
tour booking transaction,Travel
diesel transaction,Transport
doctor consultation payment,Health
shopping,Shopping
bonus received 1616,Income
internet bill 4174,Utilities
health checkup,Health
movie ticket,Entertainment
shopping,Shopping
electronics purchase transaction,Shopping
hospital visit transaction,Health
game purchase,Entertainment
tea 1086,Food
internet bill payment,Utilities
milk purchase transaction,Groceries
cinema,Entertainment
cinema 3887,Entertainment
vegetable market,Groceries
interest income expense,Income
zomato order,Food
refund received,Income
netflix subscription expense,Entertainment
metro ticket payment,Transport
water bill transaction,Utilities
new shoes payment,Shopping
petrol expense,Transport
milk purchase 4019,Groceries
electricity bill transaction,Utilities
grocery shopping,Groceries
electricity bill,Utilities
spotify premium transaction,Entertainment
water bill payment,Utilities
daily groceries 4120,Groceries
trip expense,Travel
cinema,Entertainment
mall shopping,Shopping
spotify premium expense,Entertainment
freelance payment,Income
gas bill,Utilities
trip expense,Travel
petrol payment,Transport
medicine purchase,Health
pharmacy,Health
tour booking,Travel
interest income expense,Income
gas bill payment,Utilities
bonus received,Income
salary credited 1157,Income
trip expense transaction,Travel
ration store 3717,Groceries
refund received expense,Income
gas station transaction,Transport
online shopping transaction,Shopping
spotify premium expense,Entertainment
water bill payment,Utilities
medicine purchase,Health
hotel booking transaction,Travel
lunch,Food
movie ticket 261,Entertainment
mobile recharge transaction,Utilities
uber ride,Transport
milk purchase payment,Groceries
flight ticket transaction,Travel
new shoes payment,Shopping
pharmacy,Health
shopping transaction,Shopping
grocery shopping 3299,Groceries
daily groceries,Groceries
mall shopping payment,Shopping
ola cab expense,Transport
uber ride payment,Transport
swiggy order,Food
ration store expense,Groceries
tea payment,Food
freelance payment,Income
tour booking,Travel
amazon order,Shopping
medical bill expense,Health
doctor consultation payment,Health
flipkart order,Shopping
bonus received expense,Income
pharmacy 1795,Health
metro ticket,Transport
concert ticket,Entertainment
breakfast payment,Food
pharmacy payment,Health
burger expense,Food
electricity bill transaction,Utilities
wifi payment expense,Utilities
game purchase,Entertainment
netflix subscription 477,Entertainment
freelance payment payment,Income
flight ticket 3699,Travel
burger,Food
internet bill,Utilities
shopping,Shopping
mobile recharge expense,Utilities
gas station expense,Transport
flight ticket expense,Travel
movie ticket transaction,Entertainment
grocery shopping expense,Groceries
grocery shopping,Groceries
milk purchase transaction,Groceries
health checkup transaction,Health
gas bill,Utilities
fuel refill transaction,Transport
petrol,Transport
petrol,Transport
wifi payment 2651,Utilities
diesel,Transport
spotify premium transaction,Entertainment
vacation travel,Travel
tour booking,Travel
mall shopping 498,Shopping
interest income transaction,Income
online shopping,Shopping
hospital visit payment,Health
pharmacy 3684,Health
clothes purchase,Shopping
electricity bill 4770,Utilities
supermarket 3925,Groceries
freelance payment,Income
hotel booking 3591,Travel
refund received transaction,Income
refund received,Income
bus ticket transaction,Transport
electronics purchase,Shopping
hotel booking,Travel
cashback received payment,Income
swiggy order,Food
ration store,Groceries
grocery shopping,Groceries
cinema expense,Entertainment
electricity bill,Utilities
cashback received payment,Income
freelance payment,Income
doctor consultation,Health
trip expense payment,Travel
dinner 4026,Food
mobile recharge,Utilities
mall shopping,Shopping
flight ticket expense,Travel
new shoes payment,Shopping
trip expense,Travel
cashback received 2375,Income
amazon order 4732,Shopping
cashback received 233,Income
concert ticket,Entertainment
flight ticket transaction,Travel
mall shopping expense,Shopping
pharmacy,Health
health checkup 3110,Health
interest income payment,Income
spotify premium,Entertainment
breakfast,Food
interest income payment,Income
interest income expense,Income
grocery shopping transaction,Groceries
metro ticket expense,Transport
medicine purchase transaction,Health
hotel booking expense,Travel
game purchase,Entertainment
milk purchase,Groceries
hospital visit payment,Health
taxi fare 1505,Transport
spotify premium,Entertainment
electronics purchase payment,Shopping
hospital visit,Health
mall shopping 1403,Shopping
daily groceries transaction,Groceries
train ticket,Transport
hospital visit transaction,Health
resort stay,Travel
medicine purchase 4305,Health
medical bill payment,Health
online shopping expense,Shopping
salary credited expense,Income
hospital visit 2137,Health
cinema expense,Entertainment
ration store payment,Groceries
doctor consultation expense,Health
dinner payment,Food
food delivery,Food
dinner transaction,Food
movie ticket payment,Entertainment
daily groceries transaction,Groceries
snacks transaction,Food
water bill,Utilities
taxi fare,Transport
concert ticket payment,Entertainment
cinema,Entertainment
flight ticket,Travel
bus ticket 3909,Transport
uber ride,Transport
concert ticket,Entertainment
doctor consultation,Health
refund received payment,Income
internet bill transaction,Utilities
trip expense transaction,Travel
concert ticket 1885,Entertainment
doctor consultation 4498,Health
mall shopping transaction,Shopping
uber ride,Transport
flight ticket,Travel
tour booking,Travel
medicine purchase,Health
vegetable market expense,Groceries
fuel refill,Transport
salary credited,Income
freelance payment transaction,Income
medical bill payment,Health
clothes purchase transaction,Shopping
flight ticket 3026,Travel
game purchase transaction,Entertainment
metro ticket expense,Transport
ration store transaction,Groceries
interest income transaction,Income
doctor consultation payment,Health
refund received payment,Income
electricity bill,Utilities
petrol transaction,Transport
medical bill,Health
ration store,Groceries
flight ticket,Travel
flipkart order 4827,Shopping
resort stay payment,Travel
electricity bill payment,Utilities
flight ticket transaction,Travel
mobile recharge,Utilities
ola cab 4395,Transport
water bill transaction,Utilities
netflix subscription 2468,Entertainment
freelance payment,Income
vegetable market expense,Groceries
electricity bill,Utilities
online shopping transaction,Shopping
netflix subscription 2108,Entertainment
grocery shopping,Groceries
tour booking 268,Travel
mall shopping transaction,Shopping
internet bill expense,Utilities
internet bill,Utilities
trip expense expense,Travel
train ticket expense,Transport
cinema,Entertainment
shopping 1637,Shopping
tour booking expense,Travel
game purchase 1360,Entertainment
netflix subscription 2559,Entertainment
online shopping,Shopping
supermarket,Groceries
milk purchase expense,Groceries
resort stay payment,Travel
tour booking expense,Travel
vegetable market payment,Groceries
auto rickshaw transaction,Transport
street food,Food
ration store expense,Groceries
hospital visit 2775,Health
interest income expense,Income
bonus received transaction,Income
resort stay expense,Travel
new shoes expense,Shopping
mobile recharge,Utilities
wifi payment,Utilities
clothes purchase payment,Shopping
bonus received,Income
netflix subscription transaction,Entertainment
wifi payment,Utilities
train ticket,Transport
flipkart order payment,Shopping
medical bill 1256,Health
tea transaction,Food
medical bill 2587,Health
electricity bill payment,Utilities
tour booking 1151,Travel
water bill transaction,Utilities
hospital visit,Health
game purchase 4785,Entertainment
bonus received transaction,Income
internet bill,Utilities
tea expense,Food
new shoes transaction,Shopping
hospital visit 3809,Health
hotel booking expense,Travel
pizza transaction,Food
tour booking,Travel
shopping transaction,Shopping
daily groceries,Groceries
refund received payment,Income
wifi payment payment,Utilities
movie ticket,Entertainment
wifi payment expense,Utilities
internet bill 4337,Utilities
online shopping 51,Shopping
bonus received expense,Income
lunch 2370,Food
cashback received transaction,Income
clothes purchase expense,Shopping
ration store payment,Groceries
gas bill,Utilities
burger expense,Food
wifi payment expense,Utilities
spotify premium transaction,Entertainment
freelance payment,Income
street food expense,Food
restaurant meal,Food
bus ticket,Transport
hospital visit,Health
cinema transaction,Entertainment
refund received payment,Income
ration store transaction,Groceries
uber ride,Transport
ration store,Groceries
tour booking expense,Travel
auto rickshaw,Transport
hotel booking expense,Travel
electricity bill payment,Utilities
mobile recharge transaction,Utilities
bonus received 1281,Income
daily groceries expense,Groceries
fuel refill expense,Transport
dinner transaction,Food
hospital visit,Health
freelance payment,Income
street food 3165,Food
doctor consultation 3968,Health
cinema,Entertainment
medical bill,Health
mobile recharge,Utilities
zomato order 2465,Food
water bill payment,Utilities
shopping,Shopping
game purchase,Entertainment
mall shopping payment,Shopping
supermarket,Groceries
bonus received,Income
mall shopping expense,Shopping
pharmacy,Health
medicine purchase payment,Health
bus ticket,Transport
wifi payment,Utilities
flipkart order 1685,Shopping
auto rickshaw 4833,Transport
refund received expense,Income
cashback received payment,Income
pharmacy payment,Health
flipkart order 3508,Shopping
spotify premium transaction,Entertainment
interest income payment,Income
diesel expense,Transport
game purchase,Entertainment
concert ticket 2990,Entertainment
vegetable market expense,Groceries
interest income,Income
bus ticket,Transport
amazon order expense,Shopping
restaurant meal 1159,Food
hotel booking expense,Travel
game purchase payment,Entertainment
internet bill 879,Utilities
hospital visit expense,Health
wifi payment transaction,Utilities
food delivery payment,Food
amazon order transaction,Shopping
medical bill,Health
daily groceries expense,Groceries
hotel booking expense,Travel
wifi payment,Utilities
game purchase payment,Entertainment
resort stay,Travel
mobile recharge payment,Utilities
auto rickshaw 1495,Transport
lunch,Food
grocery shopping,Groceries
internet bill expense,Utilities
electricity bill transaction,Utilities
pharmacy,Health
street food,Food
mall shopping payment,Shopping
resort stay,Travel
movie ticket 4553,Entertainment
cinema 3834,Entertainment
health checkup transaction,Health
flipkart order expense,Shopping
ration store 1425,Groceries
bonus received transaction,Income
ration store,Groceries
movie ticket payment,Entertainment
water bill payment,Utilities
doctor consultation,Health
refund received 1579,Income
interest income payment,Income
interest income,Income
mall shopping transaction,Shopping
netflix subscription 3040,Entertainment
tea 539,Food
clothes purchase,Shopping
concert ticket payment,Entertainment
tour booking,Travel
concert ticket expense,Entertainment
spotify premium transaction,Entertainment
doctor consultation,Health
metro ticket 4453,Transport
interest income 3269,Income
interest income,Income
coffee,Food
new shoes transaction,Shopping
flipkart order payment,Shopping
grocery shopping,Groceries
food delivery expense,Food
new shoes expense,Shopping
medicine purchase expense,Health
ola cab,Transport
burger,Food
freelance payment payment,Income
new shoes transaction,Shopping
movie ticket,Entertainment
breakfast transaction,Food
taxi fare payment,Transport
movie ticket transaction,Entertainment
clothes purchase,Shopping
shopping expense,Shopping
burger expense,Food
zomato order transaction,Food
supermarket,Groceries
trip expense payment,Travel
interest income 2331,Income
amazon order expense,Shopping
grocery shopping expense,Groceries
trip expense,Travel
medicine purchase expense,Health
netflix subscription 3113,Entertainment
health checkup,Health
doctor consultation expense,Health
netflix subscription payment,Entertainment
spotify premium 4443,Entertainment
refund received,Income
flipkart order transaction,Shopping
vegetable market transaction,Groceries
flight ticket 1822,Travel
internet bill,Utilities
medical bill,Health
supermarket expense,Groceries
electronics purchase,Shopping
uber ride transaction,Transport
doctor consultation 3202,Health
zomato order 4727,Food
flight ticket expense,Travel
coffee payment,Food
electricity bill,Utilities
trip expense payment,Travel
clothes purchase,Shopping
movie ticket payment,Entertainment
metro ticket,Transport
game purchase transaction,Entertainment
vacation travel expense,Travel
salary credited,Income
burger expense,Food
medicine purchase expense,Health
breakfast transaction,Food
game purchase payment,Entertainment
mobile recharge,Utilities
refund received payment,Income
supermarket payment,Groceries
electricity bill expense,Utilities
ration store transaction,Groceries
salary credited expense,Income
refund received payment,Income
milk purchase,Groceries
internet bill,Utilities
fuel refill,Transport
concert ticket 913,Entertainment
mobile recharge,Utilities
milk purchase,Groceries
cashback received,Income
spotify premium 4923,Entertainment
mall shopping expense,Shopping
resort stay expense,Travel
snacks,Food
tea payment,Food
medical bill,Health
food delivery transaction,Food
health checkup expense,Health
flight ticket 4385,Travel
supermarket payment,Groceries
train ticket expense,Transport
metro ticket payment,Transport
salary credited,Income
cashback received payment,Income
tea expense,Food
medical bill,Health
tea,Food
snacks payment,Food
online shopping expense,Shopping
electronics purchase payment,Shopping
milk purchase payment,Groceries
interest income expense,Income
petrol,Transport
metro ticket transaction,Transport
medicine purchase 659,Health
grocery shopping transaction,Groceries
concert ticket transaction,Entertainment
pizza payment,Food
freelance payment expense,Income
grocery shopping 2259,Groceries
concert ticket transaction,Entertainment
medicine purchase transaction,Health
daily groceries expense,Groceries
milk purchase payment,Groceries
game purchase,Entertainment
cinema payment,Entertainment
petrol 1526,Transport
bonus received transaction,Income
daily groceries transaction,Groceries
milk purchase,Groceries
electricity bill expense,Utilities
train ticket 2793,Transport
new shoes 4633,Shopping
auto rickshaw 4027,Transport
tour booking 3687,Travel
cashback received payment,Income
dinner 1508,Food
medical bill transaction,Health
ola cab transaction,Transport
hospital visit transaction,Health
zomato order,Food
movie ticket transaction,Entertainment
gas bill transaction,Utilities
resort stay,Travel
amazon order expense,Shopping
petrol expense,Transport
trip expense payment,Travel
amazon order expense,Shopping
grocery shopping expense,Groceries
online shopping transaction,Shopping
uber ride 4774,Transport
medicine purchase 1593,Health
pharmacy,Health
concert ticket,Entertainment
dinner,Food
tour booking 3559,Travel
metro ticket,Transport
bonus received,Income
gas station expense,Transport
cashback received transaction,Income
milk purchase expense,Groceries
concert ticket,Entertainment
milk purchase 4212,Groceries
grocery shopping 2362,Groceries
auto rickshaw payment,Transport
electronics purchase 4640,Shopping
refund received expense,Income
cashback received,Income
hospital visit,Health
hotel booking 3191,Travel
metro ticket,Transport
flight ticket transaction,Travel
vacation travel,Travel
spotify premium,Entertainment
resort stay transaction,Travel
internet bill expense,Utilities
vacation travel expense,Travel
salary credited payment,Income
new shoes payment,Shopping
ola cab,Transport
concert ticket transaction,Entertainment
concert ticket,Entertainment
coffee,Food
pizza transaction,Food
hotel booking,Travel
wifi payment,Utilities
spotify premium transaction,Entertainment
tour booking 1211,Travel
internet bill payment,Utilities
refund received expense,Income
electronics purchase payment,Shopping
movie ticket expense,Entertainment
game purchase,Entertainment
trip expense expense,Travel
petrol 2463,Transport
train ticket payment,Transport
netflix subscription expense,Entertainment
concert ticket transaction,Entertainment
metro ticket,Transport
ola cab,Transport
restaurant meal transaction,Food
tour booking,Travel
cashback received 2072,Income
auto rickshaw expense,Transport
tour booking transaction,Travel
pharmacy payment,Health
supermarket expense,Groceries
netflix subscription,Entertainment
pharmacy,Health
trip expense expense,Travel
ration store 346,Groceries
salary credited 4507,Income
taxi fare 357,Transport
daily groceries,Groceries
burger payment,Food
cinema transaction,Entertainment
mobile recharge,Utilities
pizza,Food
doctor consultation,Health
freelance payment expense,Income
trip expense payment,Travel
train ticket expense,Transport
interest income payment,Income
taxi fare,Transport
game purchase,Entertainment
refund received payment,Income
tea,Food
new shoes,Shopping
milk purchase payment,Groceries
wifi payment,Utilities
hospital visit payment,Health
ration store payment,Groceries
freelance payment transaction,Income
cashback received 597,Income
vegetable market,Groceries
salary credited 193,Income
bonus received transaction,Income
flipkart order,Shopping
gas bill,Utilities
hotel booking payment,Travel
swiggy order 4641,Food
trip expense,Travel
bonus received 1525,Income
breakfast,Food
hospital visit,Health
shopping transaction,Shopping
taxi fare expense,Transport
shopping,Shopping
game purchase payment,Entertainment
electricity bill,Utilities
street food transaction,Food
concert ticket expense,Entertainment
trip expense,Travel
cashback received expense,Income
movie ticket expense,Entertainment
new shoes transaction,Shopping
daily groceries,Groceries
salary credited payment,Income
tour booking expense,Travel
snacks expense,Food
petrol,Transport
diesel transaction,Transport
spotify premium,Entertainment
dinner,Food
health checkup,Health
ration store transaction,Groceries
food delivery expense,Food
shopping,Shopping
bus ticket 4888,Transport
bus ticket payment,Transport
milk purchase,Groceries
cinema 3760,Entertainment
mall shopping,Shopping
shopping payment,Shopping
game purchase transaction,Entertainment
hotel booking expense,Travel
new shoes transaction,Shopping
water bill expense,Utilities
electronics purchase transaction,Shopping
health checkup 3780,Health
health checkup payment,Health
wifi payment transaction,Utilities
bus ticket payment,Transport
concert ticket transaction,Entertainment
electricity bill expense,Utilities
supermarket,Groceries
grocery shopping,Groceries
vegetable market payment,Groceries
vegetable market transaction,Groceries
diesel transaction,Transport
flipkart order expense,Shopping
street food payment,Food
zomato order transaction,Food
resort stay,Travel
salary credited,Income
pizza,Food
doctor consultation expense,Health
mall shopping 3317,Shopping
medicine purchase 3408,Health
ration store,Groceries
internet bill 4369,Utilities
spotify premium,Entertainment
amazon order payment,Shopping
lunch 4494,Food
milk purchase payment,Groceries
wifi payment payment,Utilities
pizza expense,Food
flight ticket,Travel
uber ride payment,Transport
daily groceries expense,Groceries
electricity bill,Utilities
internet bill expense,Utilities
medical bill 3946,Health
cashback received expense,Income
hotel booking expense,Travel
mobile recharge,Utilities
bonus received 2203,Income
freelance payment transaction,Income
cashback received,Income
flipkart order 2299,Shopping
ola cab transaction,Transport
pizza transaction,Food
health checkup transaction,Health
water bill expense,Utilities
salary credited expense,Income
vacation travel transaction,Travel
amazon order payment,Shopping
gas station 2458,Transport
flipkart order,Shopping
movie ticket expense,Entertainment
tour booking payment,Travel
vegetable market,Groceries
refund received payment,Income
bonus received expense,Income
water bill,Utilities
resort stay,Travel
cinema payment,Entertainment
train ticket expense,Transport
grocery shopping 3506,Groceries
milk purchase payment,Groceries
cinema 805,Entertainment
hospital visit 1624,Health
spotify premium,Entertainment
resort stay,Travel
trip expense payment,Travel
daily groceries transaction,Groceries
concert ticket transaction,Entertainment
diesel expense,Transport
cashback received 4644,Income
new shoes 2060,Shopping
dinner transaction,Food
movie ticket expense,Entertainment
mobile recharge expense,Utilities
gas bill payment,Utilities
movie ticket,Entertainment
cinema transaction,Entertainment
bus ticket payment,Transport
flight ticket,Travel
salary credited 4879,Income
netflix subscription payment,Entertainment
gas station payment,Transport
spotify premium transaction,Entertainment
shopping,Shopping
medicine purchase,Health
ration store,Groceries
cashback received payment,Income
tea,Food
concert ticket payment,Entertainment
hospital visit payment,Health
health checkup 1678,Health
train ticket expense,Transport
daily groceries transaction,Groceries
freelance payment,Income
ola cab,Transport
ration store payment,Groceries
ration store transaction,Groceries
pharmacy 2362,Health
cashback received,Income
grocery shopping 1675,Groceries
food delivery,Food
mobile recharge payment,Utilities
tea transaction,Food
cinema,Entertainment
amazon order,Shopping
ration store 2295,Groceries
vegetable market expense,Groceries
spotify premium transaction,Entertainment
grocery shopping expense,Groceries
cashback received payment,Income
milk purchase,Groceries
online shopping expense,Shopping
cashback received,Income
breakfast payment,Food
amazon order transaction,Shopping
supermarket,Groceries
doctor consultation 4834,Health
electronics purchase 4196,Shopping
metro ticket,Transport
cinema transaction,Entertainment
resort stay transaction,Travel
concert ticket transaction,Entertainment
milk purchase expense,Groceries
vegetable market expense,Groceries
trip expense,Travel
doctor consultation expense,Health
uber ride,Transport
internet bill,Utilities
tour booking expense,Travel
electronics purchase,Shopping
trip expense expense,Travel
amazon order,Shopping
ration store,Groceries
vegetable market transaction,Groceries
taxi fare,Transport
flight ticket expense,Travel
gas bill 1319,Utilities
vacation travel 1336,Travel
water bill,Utilities
mall shopping,Shopping
health checkup expense,Health
doctor consultation payment,Health
flipkart order payment,Shopping
water bill payment,Utilities
new shoes transaction,Shopping
medicine purchase 867,Health
new shoes transaction,Shopping
health checkup expense,Health
restaurant meal transaction,Food
game purchase transaction,Entertainment
cashback received,Income
spotify premium,Entertainment
swiggy order expense,Food
bus ticket,Transport
wifi payment payment,Utilities
movie ticket 236,Entertainment
flight ticket payment,Travel
gas bill,Utilities
train ticket 1021,Transport
cinema expense,Entertainment
metro ticket expense,Transport
trip expense payment,Travel
salary credited transaction,Income
refund received,Income
pizza transaction,Food
mobile recharge,Utilities
tour booking expense,Travel
online shopping payment,Shopping
pizza expense,Food
milk purchase,Groceries
vacation travel,Travel
freelance payment 2534,Income
online shopping payment,Shopping
new shoes transaction,Shopping
clothes purchase,Shopping
salary credited,Income
movie ticket transaction,Entertainment
medical bill 2573,Health
internet bill 1384,Utilities
vegetable market 2460,Groceries
cashback received expense,Income
breakfast payment,Food
mall shopping,Shopping
petrol,Transport
bus ticket,Transport
supermarket transaction,Groceries
flipkart order expense,Shopping
vegetable market,Groceries
tour booking,Travel
auto rickshaw transaction,Transport
online shopping expense,Shopping
mall shopping payment,Shopping
food delivery transaction,Food
resort stay payment,Travel
electronics purchase expense,Shopping
flight ticket,Travel
snacks,Food
petrol payment,Transport
amazon order,Shopping
salary credited 1752,Income
vacation travel payment,Travel
resort stay expense,Travel
breakfast expense,Food
clothes purchase payment,Shopping
concert ticket expense,Entertainment
daily groceries payment,Groceries
tour booking expense,Travel
electricity bill 1028,Utilities
fuel refill,Transport
freelance payment transaction,Income
wifi payment expense,Utilities
game purchase transaction,Entertainment
doctor consultation expense,Health
electricity bill transaction,Utilities
petrol,Transport
pizza expense,Food
electricity bill,Utilities
vegetable market expense,Groceries
ola cab payment,Transport
interest income,Income
interest income payment,Income
freelance payment expense,Income
movie ticket 4016,Entertainment
shopping expense,Shopping
milk purchase,Groceries
electricity bill payment,Utilities
vegetable market expense,Groceries
daily groceries payment,Groceries
mall shopping transaction,Shopping
concert ticket expense,Entertainment
ration store transaction,Groceries
concert ticket transaction,Entertainment
cashback received,Income
freelance payment expense,Income
grocery shopping transaction,Groceries
snacks expense,Food
ola cab,Transport
restaurant meal,Food
medical bill expense,Health
freelance payment expense,Income
fuel refill 1896,Transport
mall shopping,Shopping
supermarket transaction,Groceries
mobile recharge payment,Utilities
electronics purchase,Shopping
concert ticket expense,Entertainment
flight ticket transaction,Travel
bonus received,Income
bonus received expense,Income
health checkup transaction,Health
game purchase 124,Entertainment
train ticket payment,Transport
salary credited,Income
electronics purchase expense,Shopping
uber ride 2191,Transport
pharmacy payment,Health
medical bill,Health
flight ticket payment,Travel
flipkart order expense,Shopping
flight ticket expense,Travel
daily groceries 2257,Groceries
tea,Food
electronics purchase payment,Shopping
pharmacy transaction,Health
clothes purchase expense,Shopping
amazon order,Shopping
snacks,Food
lunch transaction,Food
flight ticket expense,Travel
daily groceries expense,Groceries
concert ticket,Entertainment
pharmacy,Health
electricity bill transaction,Utilities
petrol,Transport
vacation travel payment,Travel
concert ticket,Entertainment
game purchase expense,Entertainment
hotel booking,Travel
fuel refill,Transport
taxi fare payment,Transport
doctor consultation,Health
movie ticket transaction,Entertainment
snacks transaction,Food
online shopping 4746,Shopping
freelance payment,Income
water bill expense,Utilities
milk purchase payment,Groceries
internet bill transaction,Utilities
amazon order 2165,Shopping
grocery shopping,Groceries
trip expense payment,Travel
supermarket transaction,Groceries
petrol,Transport
interest income expense,Income
flight ticket payment,Travel
restaurant meal 4416,Food
vegetable market,Groceries
vegetable market,Groceries
gas bill,Utilities
pizza,Food
ola cab transaction,Transport
trip expense,Travel
mall shopping payment,Shopping
netflix subscription payment,Entertainment
metro ticket transaction,Transport
resort stay expense,Travel
cinema transaction,Entertainment
internet bill transaction,Utilities
daily groceries payment,Groceries
doctor consultation,Health
cinema payment,Entertainment
movie ticket,Entertainment
freelance payment payment,Income
clothes purchase,Shopping
hospital visit payment,Health
game purchase payment,Entertainment
salary credited,Income
movie ticket,Entertainment
salary credited transaction,Income
burger,Food
electronics purchase expense,Shopping
spotify premium expense,Entertainment
clothes purchase,Shopping
refund received payment,Income
burger payment,Food
fuel refill,Transport
tour booking transaction,Travel
freelance payment,Income
flipkart order transaction,Shopping
pizza 1504,Food
hotel booking payment,Travel
daily groceries,Groceries
pizza,Food
game purchase payment,Entertainment
wifi payment expense,Utilities
new shoes 1961,Shopping
water bill,Utilities
grocery shopping,Groceries
movie ticket payment,Entertainment
street food 3935,Food
pizza payment,Food
metro ticket expense,Transport
health checkup,Health
trip expense payment,Travel
petrol,Transport
concert ticket,Entertainment
hospital visit,Health
online shopping expense,Shopping
wifi payment payment,Utilities
interest income payment,Income
pizza 4069,Food
cashback received,Income
spotify premium,Entertainment
movie ticket,Entertainment
amazon order,Shopping
salary credited,Income
health checkup,Health
electronics purchase transaction,Shopping
amazon order,Shopping
metro ticket 439,Transport
vacation travel 2843,Travel
netflix subscription,Entertainment
wifi payment,Utilities
spotify premium,Entertainment
gas bill payment,Utilities
flight ticket,Travel
electricity bill 859,Utilities
lunch payment,Food
health checkup 2797,Health
grocery shopping 3567,Groceries
game purchase,Entertainment
spotify premium 2821,Entertainment
flipkart order 4138,Shopping
health checkup payment,Health
hospital visit 1989,Health
mall shopping,Shopping
flight ticket transaction,Travel
medicine purchase transaction,Health
freelance payment,Income
swiggy order,Food
restaurant meal,Food
dinner,Food
salary credited transaction,Income
medical bill expense,Health
vegetable market expense,Groceries
electricity bill,Utilities
gas bill transaction,Utilities
salary credited,Income
metro ticket expense,Transport
tour booking,Travel
hotel booking,Travel
flipkart order 632,Shopping
ration store,Groceries
vegetable market 2815,Groceries
electronics purchase payment,Shopping
game purchase 2436,Entertainment
medicine purchase payment,Health
bus ticket 2024,Transport
diesel payment,Transport
doctor consultation expense,Health
gas station transaction,Transport
mobile recharge,Utilities
online shopping,Shopping
zomato order transaction,Food
electricity bill,Utilities
water bill,Utilities
medical bill,Health
gas bill expense,Utilities
burger,Food
pharmacy expense,Health
medical bill,Health
auto rickshaw,Transport
hotel booking 3315,Travel
train ticket,Transport
tour booking,Travel
medicine purchase transaction,Health
breakfast,Food
milk purchase transaction,Groceries
hotel booking payment,Travel
resort stay,Travel
snacks expense,Food
internet bill payment,Utilities
gas bill expense,Utilities
new shoes transaction,Shopping
flight ticket expense,Travel
hotel booking,Travel
medical bill payment,Health
doctor consultation,Health
pharmacy 3061,Health
gas bill expense,Utilities
trip expense 2204,Travel
flight ticket,Travel
trip expense,Travel
cashback received expense,Income
cashback received payment,Income
internet bill,Utilities
pharmacy,Health
cinema,Entertainment
movie ticket transaction,Entertainment
salary credited payment,Income
taxi fare,Transport
fuel refill 2222,Transport
online shopping transaction,Shopping
wifi payment expense,Utilities
amazon order transaction,Shopping
flipkart order transaction,Shopping
bus ticket payment,Transport
train ticket 1545,Transport
snacks,Food
bus ticket,Transport
movie ticket transaction,Entertainment
shopping 253,Shopping
clothes purchase 2178,Shopping
game purchase expense,Entertainment
spotify premium,Entertainment
diesel,Transport
mobile recharge,Utilities
supermarket 3347,Groceries
daily groceries transaction,Groceries
zomato order,Food
shopping 1460,Shopping
fuel refill,Transport
vacation travel transaction,Travel
spotify premium payment,Entertainment
game purchase transaction,Entertainment
flipkart order,Shopping
hospital visit payment,Health
zomato order 877,Food
wifi payment expense,Utilities
health checkup transaction,Health
amazon order transaction,Shopping
dinner expense,Food
train ticket payment,Transport
pharmacy 4415,Health
electronics purchase 1515,Shopping
diesel,Transport
refund received,Income
diesel,Transport
flight ticket,Travel
flight ticket expense,Travel
cinema expense,Entertainment
restaurant meal transaction,Food
mobile recharge 2218,Utilities
cashback received 1676,Income
snacks 4555,Food
breakfast,Food
refund received payment,Income
trip expense transaction,Travel
ration store payment,Groceries
medicine purchase expense,Health
hospital visit payment,Health
lunch,Food
bonus received transaction,Income
doctor consultation payment,Health
fuel refill,Transport
cinema expense,Entertainment
petrol transaction,Transport
water bill payment,Utilities
bonus received,Income
salary credited expense,Income
lunch 3439,Food
grocery shopping,Groceries
daily groceries,Groceries
concert ticket transaction,Entertainment
medicine purchase payment,Health
gas bill expense,Utilities
movie ticket 2005,Entertainment
bus ticket expense,Transport
refund received,Income
grocery shopping transaction,Groceries
medicine purchase,Health
wifi payment,Utilities
cashback received transaction,Income
electronics purchase,Shopping
cashback received expense,Income
resort stay transaction,Travel
water bill,Utilities
flight ticket,Travel
water bill payment,Utilities
gas bill,Utilities
wifi payment payment,Utilities
medical bill expense,Health
fuel refill payment,Transport
resort stay expense,Travel
flipkart order,Shopping
flight ticket transaction,Travel
medical bill 2322,Health
freelance payment expense,Income
interest income,Income
ration store expense,Groceries
resort stay,Travel
ola cab,Transport
bonus received payment,Income
clothes purchase 3520,Shopping
fuel refill expense,Transport
lunch payment,Food
mobile recharge,Utilities
supermarket 3313,Groceries
electronics purchase transaction,Shopping
movie ticket expense,Entertainment
vacation travel transaction,Travel
pharmacy expense,Health
fuel refill,Transport
movie ticket,Entertainment
